Name,Team,SeasG,SeasW,SeasL,FranG,FranW,FranL,CareW,CareL,CareWP,POSeasG,POSeasW,POSeasL,POFranG,POFranW,POFranL,POCareG,POCareW,POCareL
Nate McMillan,ATL,59,29,30,179,99,80,1428,760,668,0,0,0,23,11,12,76,28,48
Joe Prunty,ATL,2,2,0,2,2,0,39,23,16,0,0,0,0,0,0,7,3,4
Quin Snyder,ATL,21,10,11,21,10,11,657,382,275,6,2,4,6,2,4,57,23,34
Joe Mazzulla,BOS,82,57,25,82,57,25,82,57,25,20,11,9,20,11,9,20,11,9
Steve Nash,BRK,7,2,5,161,94,67,161,94,67,0,0,0,16,7,9,16,7,9
Jacque Vaughn,BRK,75,43,32,85,50,35,301,108,193,4,0,4,8,0,8,8,0,8
Billy Donovan,CHI,82,40,42,236,117,119,636,360,276,0,0,0,5,1,4,46,19,27
Steve Clifford,CHO,82,27,55,492,223,269,719,319,400,0,0,0,11,3,8,21,5,16
J.B. Bickerstaff,CLE,82,51,31,247,122,125,463,207,256,5,1,4,5,1,4,10,2,8
Jason Kidd,DAL,82,38,44,164,90,74,537,273,264,0,0,0,18,9,9,42,18,24
Michael Malone,DEN,82,53,29,637,367,270,743,406,337,20,16,4,68,37,31,68,37,31
Dwane Casey,DET,82,17,65,384,121,263,1064,494,570,0,0,0,4,0,4,55,21,34
Steve Kerr,GSW,82,44,38,711,473,238,711,473,238,13,6,7,140,99,41,140,99,41
Stephen Silas,HOU,82,22,60,236,59,177,236,59,177,0,0,0,0,0,0,0,0,0
Rick Carlisle,IND,82,35,47,492,241,251,1689,896,793,0,0,0,35,18,17,133,63,70
Tyronn Lue,LAC,82,44,38,236,133,103,447,261,186,5,1,4,24,11,13,85,52,33
Darvin Ham,LAL,82,43,39,82,43,39,82,43,39,16,8,8,16,8,8,16,8,8
Taylor Jenkins,MEM,82,51,31,309,179,130,309,179,130,6,2,4,23,9,14,23,9,14
Erik Spoelstra,MIA,82,44,38,1195,704,491,1195,704,491,23,13,10,184,109,75,184,109,75
Mike Budenholzer,MIL,82,58,24,391,271,120,801,484,317,5,1,4,65,39,26,104,56,48
Chris Finch,MIN,82,42,40,205,104,101,205,104,101,5,1,4,11,3,8,11,3,8
Willie Green,NOP,82,42,40,164,78,86,164,78,86,0,0,0,6,2,4,6,2,4
Tom Thibodeau,NYK,82,47,35,236,125,111,834,477,357,11,6,5,16,7,9,72,31,41
Mark Daigneault,OKC,82,40,42,236,86,150,236,86,150,0,0,0,0,0,0,0,0,0
Jamahl Mosley,ORL,82,34,48,164,56,108,164,56,108,0,0,0,0,0,0,0,0,0
Doc Rivers,PHI,82,54,28,236,154,82,1860,1097,763,11,7,4,35,20,15,215,111,104
Monty Williams,PHO,82,45,37,309,194,115,703,367,336,11,6,5,46,27,19,56,29,27
Chauncey Billups,POR,82,33,49,164,60,104,164,60,104,0,0,0,0,0,0,0,0,0
Mike Brown,SAC,82,48,34,82,48,34,645,395,250,7,3,4,7,3,4,90,50,40
Gregg Popovich,SAS,82,22,60,2127,1366,761,2127,1366,761,0,0,0,284,170,114,284,170,114
Nick Nurse,TOR,82,41,41,390,227,163,390,227,163,0,0,0,41,25,16,41,25,16
Will Hardy,UTA,82,37,45,82,37,45,82,37,45,0,0,0,0,0,0,0,0,0
Wes Unseld,WAS,82,35,47,164,70,94,164,70,94,0,0,0,0,0,0,0,0,0
