TeamID,TeamName,TeamAbbr,Location
10,Golden State Warriors,GSW,Oakland/California
11,Houston Rockets,HOU,Houston/Texas
19,New Orleans Pelicans,NOP,New Orleans/Louisiana
28,Toronto Raptors,TOR,Toronto/Ontario
6,Cleveland Cavaliers,CLE,Cleveland/Ohio
8,Denver Nuggets,DEN,Denver/Colorado
23,Philadelphia 76ers,PHI,Philadelphia/Pennsylvania
18,Minnesota Timberwolves,MIN,Minneapolis/Minnesota
13,Los Angeles Clippers,LAC,Los Angeles/California
4,Charlotte Hornets,CHO,Charlotte/North Carolina
14,Los Angeles Lakers,LAL,Los Angeles/California
21,Oklahoma City Thunder,OKC,Oklahoma City/Oklahoma
30,Washington Wizards,WAS,Washington DC
3,Brooklyn Nets,BRK,Brooklyn/New York
17,Milwaukee Bucks,MIL,Milwaukee/Wisconsin
25,Portland Trail Blazers,POR,Portland / Oregon
12,Indiana Pacers,IND,Indianapolis/Indiana
20,New York Knicks,NYK,New York/New York
29,Utah Jazz,UTA,Salt Lake City/Utah
2,Boston Celtics,BOS,Boston/Massachusetts
24,Phoenix Suns,PHO,Phoenix/Arizona
9,Detroit Pistons,DET,Detroit/Michigan
16,Miami Heat,MIA,Miami/Florida
22,Orlando Magic,ORL,Orlando/Florida
1,Atlanta Hawks,ATL,Atlanta/Georgia
5,Chicago Bulls,CHI,Chicago/Illinois
27,San Antonio Spurs,SAS,San Antonio/Texas
7,Dallas Mavericks,DAL,Dallas/Texas
15,Memphis Grizzlies,MEM,Memphis/Tennesee
26,Sacramento Kings,SAC,Sacramento/California
